zip,lat,lng,city,state_id,state_name,county_name
1001,42.06259,-72.62589,Agawam,MA,Massachusetts,Hampden
1002,42.37492,-72.4621,Amherst,MA,Massachusetts,Hampshire
1005,42.42017,-72.10615,Barre,MA,Massachusetts,Worcester
1029,42.19632,-73.04836,East Otis,MA,Massachusetts,Berkshire
1054,42.47363,-72.48746,Leverett,MA,Massachusetts,Franklin
1431,42.676520000000004,-71.82321999999999,Ashby,MA,Massachusetts,Middlesex
1810,42.64655,-71.16505,Andover,MA,Massachusetts,Essex
2019,42.077740000000006,-71.47409,Bellingham,MA,Massachusetts,Norfolk
2043,42.21678,-70.88499,Hingham,MA,Massachusetts,Plymouth
2048,42.016259999999996,-71.21868,Mansfield,MA,Massachusetts,Bristol
2108,42.35767,-71.06505,Boston,MA,Massachusetts,Suffolk
2532,41.75162,-70.59728,Buzzards Bay,MA,Massachusetts,Barnstable
2535,41.34896,-70.74629,Chilmark,MA,Massachusetts,Dukes
2554,41.285379999999996,-70.07982,Nantucket,MA,Massachusetts,Nantucket
2802,41.95195,-71.45534,Albion,RI,Rhode Island,Providence
2804,41.43188,-71.77235999999999,Ashaway,RI,Rhode Island,Washington
2816,41.69086,-71.61976999999999,Coventry,RI,Rhode Island,Kent
2835,41.51497,-71.3771,Jamestown,RI,Rhode Island,Newport
3031,42.87036,-71.6079,Amherst,NH,New Hampshire,Hillsborough
3032,42.9906,-71.34379,Auburn,NH,New Hampshire,Rockingham
3046,43.10184,-71.60561,Dunbarton,NH,New Hampshire,Merrimack
3215,43.9453,-71.45281999999999,Waterville Valley,NH,New Hampshire,Grafton
3218,43.33463,-71.28921,Barnstead,NH,New Hampshire,Belknap
3227,43.827740000000006,-71.4678,Center Sandwich,NH,New Hampshire,Carroll
3280,43.18298,-72.08925,Washington,NH,New Hampshire,Sullivan
3431,42.96265,-72.29556,Keene,NH,New Hampshire,Cheshire
3570,44.49905,-71.15716,Berlin,NH,New Hampshire,Coos
3820,43.188790000000004,-70.88678,Dover,NH,New Hampshire,Strafford
3901,43.30056,-70.84329,Berwick,ME,Maine,York
4003,43.73158,-69.98824,Bailey Island,ME,Maine,Cumberland
4008,44.03716,-69.86206999999999,Bowdoinham,ME,Maine,Sagadahoc
4010,43.93305,-70.91671,Brownfield,ME,Maine,Oxford
4210,44.0849,-70.24922,Auburn,ME,Maine,Androscoggin
4259,44.228359999999995,-70.00856,Monmouth,ME,Maine,Kennebec
