,zip,lat,lng,city,state_id,state_name,county_name,Average Temperature (Kelvin),Average Air Pressure (hPa),Average Humidity (%),Average Daily Precipitation (mm)
0,1001,42.06259,-72.62589,Agawam,MA,Massachusetts,Hampden,270.80499999999995,1016.1225,72.215,0.125
1,1002,42.37492,-72.4621,Amherst,MA,Massachusetts,Hampshire,270.80499999999995,1016.1225,72.215,0.125
2,1005,42.42017,-72.10615,Barre,MA,Massachusetts,Worcester,270.72499999999997,1014.9599999999999,71.7525,0.135
3,1029,42.19632,-73.04836,East Otis,MA,Massachusetts,Berkshire,270.80499999999995,1016.1225,72.215,0.125
4,1054,42.47363,-72.48746,Leverett,MA,Massachusetts,Franklin,270.80499999999995,1016.1225,72.215,0.125
5,1431,42.67652,-71.82321999999998,Ashby,MA,Massachusetts,Middlesex,270.665,1016.7149999999999,69.785,0.1325
6,1810,42.64655,-71.16505,Andover,MA,Massachusetts,Essex,270.665,1016.7149999999999,69.785,0.1325
7,2019,42.07774000000001,-71.47409,Bellingham,MA,Massachusetts,Norfolk,272.165,1016.14,71.2475,0.135
8,2043,42.21678,-70.88499,Hingham,MA,Massachusetts,Plymouth,271.775,1016.0350000000001,69.2525,0.135
9,2048,42.01626,-71.21868,Mansfield,MA,Massachusetts,Bristol,272.165,1016.14,71.2475,0.135
10,2108,42.35767,-71.06505,Boston,MA,Massachusetts,Suffolk,271.7475,1016.0925000000001,69.655,0.135
11,2532,41.75162,-70.59728,Buzzards Bay,MA,Massachusetts,Barnstable,272.165,1016.14,71.2475,0.135
12,2535,41.34896,-70.74629,Chilmark,MA,Massachusetts,Dukes,272.165,1016.14,71.2475,0.135
13,2554,41.28538,-70.07982,Nantucket,MA,Massachusetts,Nantucket,272.165,1016.14,71.2475,0.135
14,2802,41.95195,-71.45534,Albion,RI,Rhode Island,Providence,272.165,1016.14,71.2475,0.135
15,2804,41.43188,-71.77235999999998,Ashaway,RI,Rhode Island,Washington,272.165,1016.14,71.2475,0.135
16,2816,41.69086,-71.61976999999997,Coventry,RI,Rhode Island,Kent,272.165,1016.14,71.2475,0.135
17,2835,41.51497,-71.3771,Jamestown,RI,Rhode Island,Newport,272.165,1016.14,71.2475,0.135
18,3031,42.87036,-71.6079,Amherst,NH,New Hampshire,Hillsborough,269.73749999999995,1015.325,69.2625,0.0975
19,3032,42.9906,-71.34379,Auburn,NH,New Hampshire,Rockingham,269.73749999999995,1015.325,69.2625,0.0975
20,3046,43.10184,-71.60561,Dunbarton,NH,New Hampshire,Merrimack,269.73749999999995,1015.325,69.2625,0.0975
21,3215,43.9453,-71.45281999999997,Waterville Valley,NH,New Hampshire,Grafton,269.73749999999995,1015.325,69.2625,0.0975
22,3218,43.33463,-71.28921,Barnstead,NH,New Hampshire,Belknap,269.73749999999995,1015.325,69.2625,0.0975
23,3227,43.82774000000001,-71.4678,Center Sandwich,NH,New Hampshire,Carroll,269.73749999999995,1015.325,69.2625,0.0975
24,3280,43.18298,-72.08925,Washington,NH,New Hampshire,Sullivan,269.73749999999995,1015.325,69.2625,0.0975
25,3431,42.96265,-72.29556,Keene,NH,New Hampshire,Cheshire,269.73749999999995,1015.325,69.2625,0.0975
26,3570,44.49905,-71.15716,Berlin,NH,New Hampshire,Coos,266.0575,1011.095,80.585,0.02
27,3820,43.18879,-70.88678,Dover,NH,New Hampshire,Strafford,269.73749999999995,1015.325,69.2625,0.0975
28,3901,43.30056,-70.84329,Berwick,ME,Maine,York,269.73749999999995,1015.325,69.2625,0.0975
29,4003,43.73158,-69.98824,Bailey Island,ME,Maine,Cumberland,269.73749999999995,1015.325,69.2625,0.0975
30,4008,44.03716,-69.86206999999999,Bowdoinham,ME,Maine,Sagadahoc,269.73749999999995,1015.325,69.2625,0.0975
31,4010,43.93305,-70.91671,Brownfield,ME,Maine,Oxford,269.73749999999995,1015.325,69.2625,0.0975
32,4210,44.0849,-70.24922,Auburn,ME,Maine,Androscoggin,269.73749999999995,1015.325,69.2625,0.0975
