,zip,lat,lng,city,state_id,state_name,county_name,Average Temperature (Kelvin),Average Air Pressure (hPa),Average Humidity (%),Average Daily Precipitation (mm)
0,1001,42.06259,-72.62589,Agawam,MA,Massachusetts,Hampden,283.25796703296703,1016.1295604395608,70.2737087912088,0.12615384615384612
1,1002,42.37492,-72.4621,Amherst,MA,Massachusetts,Hampshire,283.25796703296703,1016.1295604395608,70.2737087912088,0.12615384615384612
2,1005,42.42017,-72.10615,Barre,MA,Massachusetts,Worcester,283.36832417582434,1015.3845329670336,69.59483516483513,0.13502747252747263
3,1029,42.19632,-73.04836,East Otis,MA,Massachusetts,Berkshire,283.25796703296703,1016.1295604395608,70.2737087912088,0.12615384615384612
4,1054,42.47363,-72.48746,Leverett,MA,Massachusetts,Franklin,283.25796703296703,1016.1295604395608,70.2737087912088,0.12615384615384612
5,1431,42.67652,-71.82321999999998,Ashby,MA,Massachusetts,Middlesex,283.42013736263755,1016.1724175824174,69.44491758241756,0.12895604395604404
6,1810,42.64655,-71.16505,Andover,MA,Massachusetts,Essex,283.42013736263755,1016.1724175824174,69.44491758241756,0.12895604395604404
7,2019,42.07774000000001,-71.47409,Bellingham,MA,Massachusetts,Norfolk,284.0133241758241,1016.1316208791219,70.971510989011,0.1365384615384615
8,2043,42.21678,-70.88499,Hingham,MA,Massachusetts,Plymouth,283.92524725274734,1016.823131868132,72.28843406593406,0.13428571428571434
9,2048,42.01626,-71.21868,Mansfield,MA,Massachusetts,Bristol,284.0133241758241,1016.1316208791219,70.971510989011,0.1365384615384615
10,2108,42.35767,-71.06505,Boston,MA,Massachusetts,Suffolk,283.9205494505496,1016.7906593406606,72.04472527472527,0.13538461538461535
11,2532,41.75162,-70.59728,Buzzards Bay,MA,Massachusetts,Barnstable,284.0133241758241,1016.1316208791219,70.971510989011,0.1365384615384615
12,2535,41.34896,-70.74629,Chilmark,MA,Massachusetts,Dukes,284.0133241758241,1016.1316208791219,70.971510989011,0.1365384615384615
13,2554,41.28538,-70.07982,Nantucket,MA,Massachusetts,Nantucket,284.0133241758241,1016.1316208791219,70.971510989011,0.1365384615384615
14,2802,41.95195,-71.45534,Albion,RI,Rhode Island,Providence,284.0133241758241,1016.1316208791219,70.971510989011,0.1365384615384615
15,2804,41.43188,-71.77235999999998,Ashaway,RI,Rhode Island,Washington,284.0133241758241,1016.1316208791219,70.971510989011,0.1365384615384615
16,2816,41.69086,-71.61976999999997,Coventry,RI,Rhode Island,Kent,284.0133241758241,1016.1316208791219,70.971510989011,0.1365384615384615
17,2835,41.51497,-71.3771,Jamestown,RI,Rhode Island,Newport,284.0133241758241,1016.1316208791219,70.971510989011,0.1365384615384615
18,3031,42.87036,-71.6079,Amherst,NH,New Hampshire,Hillsborough,282.69005494505495,1014.1947802197808,67.49771978021985,0.11181318681318672
19,3032,42.9906,-71.34379,Auburn,NH,New Hampshire,Rockingham,282.69005494505495,1014.1947802197808,67.49771978021985,0.11181318681318672
20,3046,43.10184,-71.60561,Dunbarton,NH,New Hampshire,Merrimack,282.69005494505495,1014.1947802197808,67.49771978021985,0.11181318681318672
21,3215,43.9453,-71.45281999999997,Waterville Valley,NH,New Hampshire,Grafton,282.69005494505495,1014.1947802197808,67.49771978021985,0.11181318681318672
22,3218,43.33463,-71.28921,Barnstead,NH,New Hampshire,Belknap,282.69005494505495,1014.1947802197808,67.49771978021985,0.11181318681318672
23,3227,43.82774000000001,-71.4678,Center Sandwich,NH,New Hampshire,Carroll,282.69005494505495,1014.1947802197808,67.49771978021985,0.11181318681318672
24,3280,43.18298,-72.08925,Washington,NH,New Hampshire,Sullivan,282.69005494505495,1014.1947802197808,67.49771978021985,0.11181318681318672
25,3431,42.96265,-72.29556,Keene,NH,New Hampshire,Cheshire,282.69005494505495,1014.1947802197808,67.49771978021985,0.11181318681318672
26,3570,44.49905,-71.15716,Berlin,NH,New Hampshire,Coos,279.3292857142859,1014.0329120879126,75.86464285714283,0.05623626373626376
27,3820,43.18879,-70.88678,Dover,NH,New Hampshire,Strafford,282.69005494505495,1014.1947802197808,67.49771978021985,0.11181318681318672
28,3901,43.30056,-70.84329,Berwick,ME,Maine,York,282.69005494505495,1014.1947802197808,67.49771978021985,0.11181318681318672
29,4003,43.73158,-69.98824,Bailey Island,ME,Maine,Cumberland,282.69005494505495,1014.1947802197808,67.49771978021985,0.11181318681318672
30,4008,44.03716,-69.86206999999999,Bowdoinham,ME,Maine,Sagadahoc,282.69005494505495,1014.1947802197808,67.49771978021985,0.11181318681318672
31,4010,43.93305,-70.91671,Brownfield,ME,Maine,Oxford,282.69005494505495,1014.1947802197808,67.49771978021985,0.11181318681318672
32,4210,44.0849,-70.24922,Auburn,ME,Maine,Androscoggin,282.69005494505495,1014.1947802197808,67.49771978021985,0.11181318681318672
33,4259,44.22836,-70.00856,Monmouth,ME,Maine,Kennebec,282.69005494505495,1014.1947802197808,67.49771978021985,0.11181318681318672
34,4342,44.07942,-69.73938000000001,Dresden,ME,Maine,Lincoln,282.69005494505495,1014.1947802197808,67.49771978021985,0.11181318681318672
35,4354,44.39603,-69.42707,Palermo,ME,Maine,Waldo,279.3292857142859,1014.0329120879126,75.86464285714283,0.05623626373626376
36,4401,44.84923,-68.84479,Bangor,ME,Maine,Penobscot,279.3292857142859,1014.0329120879126,75.86464285714283,0.05623626373626376
37,4406,45.23454,-69.56989,Abbot,ME,Maine,Piscataquis,279.3292857142859,1014.0329120879126,75.86464285714283,0.05623626373626376
38,4408,44.99135,-68.23071999999999,Aurora,ME,Maine,Hancock,279.3292857142859,1014.0329120879126,75.86464285714283,0.05623626373626376
39,4471,45.89108,-67.84714,Orient,ME,Maine,Aroostook,278.3145329670327,1013.6795329670324,75.49675824175831,0.11335164835164839
40,4478,45.86407,-69.87680999999999,Rockwood,ME,Maine,Somerset,278.3145329670327,1013.6795329670324,75.49675824175831,0.11335164835164839
41,4547,43.99388,-69.32779000000001,Friendship,ME,Maine,Knox,282.69005494505495,1014.1947802197808,67.49771978021985,0.11181318681318672
42,5001,43.67222,-72.38133,White River Junction,VT,Vermont,Windsor,282.69005494505495,1014.1947802197808,67.49771978021985,0.11181318681318672
43,5033,44.00888,-72.15799,Bradford,VT,Vermont,Orange,282.69005494505495,1014.1947802197808,67.49771978021985,0.11181318681318672
44,5042,44.22756,-72.09962,East Ryegate,VT,Vermont,Caledonia,279.3292857142859,1014.0329120879126,75.86464285714283,0.05623626373626376
45,5101,43.17899,-72.49454,Bellows Falls,VT,Vermont,Windham,282.69005494505495,1014.1947802197808,67.49771978021985,0.11181318681318672
46,5152,43.25358,-72.9153,Peru,VT,Vermont,Bennington,282.69005494505495,1014.1947802197808,67.49771978021985,0.11181318681318672
47,5401,44.47629000000001,-73.20997,Burlington,VT,Vermont,Chittenden,280.5217582417582,1015.4666758241763,70.56307692307698,0.07711538461538454
48,5440,44.95953,-73.27951999999998,Alburgh,VT,Vermont,Grand Isle,280.5217582417582,1015.4666758241763,70.56307692307698,0.07711538461538454
49,5442,44.75855,-72.67678000000002,Belvidere Center,VT,Vermont,Lamoille,279.3292857142859,1014.0329120879126,75.86464285714283,0.05623626373626376
50,5443,44.13347,-73.03668,Bristol,VT,Vermont,Addison,280.5217582417582,1015.4666758241763,70.56307692307698,0.07711538461538454
51,5701,43.62458,-72.90981,Rutland,VT,Vermont,Rutland,282.69005494505495,1014.1947802197808,67.49771978021985,0.11181318681318672
52,5820,44.73871,-72.34482,Albany,VT,Vermont,Orleans,279.3292857142859,1014.0329120879126,75.86464285714283,0.05623626373626376
53,6001,41.7907,-72.85385,Avon,CT,Connecticut,Hartford,283.82200549450545,1016.2557142857141,68.64170329670331,0.13348901098901111
54,6018,42.02648,-73.30872,Canaan,CT,Connecticut,Litchfield,284.10277472527486,1016.4567857142848,69.5090934065934,0.12475274725274732
55,6029,41.91503,-72.44946999999998,Ellington,CT,Connecticut,Tolland,283.25796703296703,1016.1295604395608,70.2737087912088,0.12615384615384612
56,6249,41.63128,-72.2402,Lebanon,CT,Connecticut,New London,283.82200549450545,1016.2557142857141,68.64170329670331,0.13348901098901111
57,6401,41.34424,-73.0689,Ansonia,CT,Connecticut,New Haven,284.4550824175822,1016.5837362637359,70.91456043956046,0.13747252747252753
