,country,points,variety,winery,winery_search
3,US,87,Riesling,St. Julian,St. Julian winery US
4,US,87,Pinot Noir,Sweet Cheeks,Sweet Cheeks winery US
10,US,87,Cabernet Sauvignon,Kirkland Signature,Kirkland Signature winery US
12,US,87,Cabernet Sauvignon,Louis M. Martini,Louis M. Martini winery US
14,US,87,Chardonnay,Mirassou,Mirassou winery US
15,Germany,87,Riesling,Richard Böcking,Richard Böcking winery Germany
21,US,87,Pinot Noir,Acrobat,Acrobat winery US
23,US,87,Merlot,Bianchi,Bianchi winery US
25,US,87,Pinot Noir,Castello di Amorosa,Castello di Amorosa winery US
34,US,86,Sauvignon Blanc,Envolve,Envolve winery US
35,US,86,Pinot Noir,Erath,Erath winery US
37,Italy,86,Cabernet Sauvignon,Feudi del Pisciotto,Feudi del Pisciotto winery Italy
41,US,86,Pinot Noir,Hawkins Cellars,Hawkins Cellars winery US
43,US,86,Sauvignon Blanc,Robert Hall,Robert Hall winery US
44,Chile,86,Merlot,Sundance,Sundance winery Chile
47,US,86,Riesling,The White Knight,The White Knight winery US
48,US,86,Sauvignon Blanc,Trump,Trump winery US
55,US,85,Chardonnay,RustRidge,RustRidge winery US
56,US,85,Chardonnay,Souverain,Souverain winery US
58,Chile,85,Pinot Noir,Tres Palacios,Tres Palacios winery Chile
60,US,86,Cabernet Sauvignon,Okapi,Okapi winery US
64,US,86,Sauvignon Blanc,Sevtap,Sevtap winery US
65,France,86,Chardonnay,Simonnet-Febvre,Simonnet-Febvre winery France
66,France,86,Chardonnay,Vignerons des Terres Secrètes,Vignerons des Terres Secrètes winery France
70,US,86,Chardonnay,Drumheller,Drumheller winery US
71,US,86,Cabernet Sauvignon,Eco Terreno,Eco Terreno winery US
73,US,86,Cabernet Sauvignon,Hindsight,Hindsight winery US
76,Germany,86,Riesling,Schmitt Söhne,Schmitt Söhne winery Germany
77,Australia,86,Chardonnay,Yalumba,Yalumba winery Australia
78,US,86,Pinot Noir,Z'IVO,Z'IVO winery US
83,Australia,86,Rosé,Mitolo,Mitolo winery Australia
85,Germany,86,Riesling,P.J. Valckenberg,P.J. Valckenberg winery Germany
87,US,86,Merlot,Passaggio,Passaggio winery US
97,US,88,Riesling,Heron Hill,Heron Hill winery US
101,US,87,Riesling,Lamoreaux Landing,Lamoreaux Landing winery US
102,US,87,Riesling,Lamoreaux Landing,Lamoreaux Landing winery US
103,Chile,87,Chardonnay,Leyda,Leyda winery Chile
111,US,87,Cabernet Sauvignon,Piña,Piña winery US
115,US,87,Chardonnay,Pull,Pull winery US
117,US,87,Syrah,Rideau,Rideau winery US
119,France,92,Riesling,Dopff & Irion,Dopff & Irion winery France
121,US,92,Chardonnay,Matrix,Matrix winery US
124,US,92,Cabernet Sauvignon,Silverado,Silverado winery US
125,South Africa,91,Cabernet Sauvignon,Le Riche,Le Riche winery South Africa
132,South Africa,91,Cabernet Sauvignon,Delheim,Delheim winery South Africa
134,US,91,Cabernet Sauvignon,Clark-Clauden,Clark-Clauden winery US
142,US,90,Riesling,Banyan,Banyan winery US
144,US,91,Cabernet Sauvignon,Terra Valentine,Terra Valentine winery US
145,US,91,Pinot Noir,Testarossa,Testarossa winery US
146,US,91,Cabernet Sauvignon,Vincent Vineyards,Vincent Vineyards winery US
147,US,91,Cabernet Sauvignon,Vincent Vineyards,Vincent Vineyards winery US
148,Germany,91,Riesling,Weingut Liebfrauenstift,Weingut Liebfrauenstift winery Germany
150,US,91,Cabernet Sauvignon,Yardstick,Yardstick winery US
152,US,91,Pinot Noir,Albatross Ridge,Albatross Ridge winery US
153,US,91,Syrah,Alta Colina,Alta Colina winery US
155,US,91,Syrah,Big Basin,Big Basin winery US
156,Germany,91,Riesling,Carl Graff,Carl Graff winery Germany
162,US,91,Riesling,Claiborne & Churchill,Claiborne & Churchill winery US
165,Chile,91,Cabernet Sauvignon,Cono Sur,Cono Sur winery Chile
168,US,91,Merlot,Duckhorn,Duckhorn winery US
169,US,91,Pinot Noir,Dutton-Goldfield,Dutton-Goldfield winery US
170,Germany,91,Riesling,Fritz Haag,Fritz Haag winery Germany
171,Germany,91,Riesling,Fritz Haag,Fritz Haag winery Germany
