,winery_search_term,latitude,longitude,number_of_results,status
0,St. Julian winery US,42.2122513,-85.8917127,1,OK
1,Sweet Cheeks winery US,43.9566698,-123.2791353,1,OK
2,Kirkland Signature winery US,35.8967132,-84.1405455,1,OK
3,Louis M. Martini winery US,38.4917079,-122.4523084,1,OK
4,,,,0,ZERO_RESULTS
5,Richard Böcking winery Germany,49.9471772,7.112136,1,OK
6,,,,0,ZERO_RESULTS
7,Bianchi winery US,35.6501868,-120.5772404,1,OK
8,Castello di Amorosa winery US,38.5585812,-122.5427528,1,OK
9,Envolve winery US,38.2931304,-122.4593339,1,OK
10,Erath winery US,45.5308628,-122.6863239,1,OK
11,Feudi del Pisciotto winery Italy,37.1156028,14.4120183,1,OK
12,Hawkins Cellars winery US,45.7247178,-121.5812167,1,OK
13,Robert Hall winery US,35.6438088,-120.6335171,1,OK
14,Sundance winery Chile,39.21146720000001,-106.9459826,1,OK
15,,,,0,ZERO_RESULTS
16,Trump winery US,37.93906399999999,-78.49868,1,OK
17,RustRidge winery US,38.52847,-122.3180769,1,OK
18,Souverain winery US,38.76285,-122.9740338,1,OK
19,Tres Palacios winery Chile,-33.8102253,-71.1043897,1,OK
20,Okapi winery US,35.0426324,-85.2820989,1,OK
21,Sevtap winery US,34.4213268,-119.7000581,1,OK
22,Simonnet-Febvre winery France,47.760036,3.6906124,1,OK
23,Vignerons des Terres Secrètes winery France,46.3219516,4.753347799999999,1,OK
24,Drumheller winery US,35.9547489,-86.81919690000001,1,OK
25,Eco Terreno winery US,38.2952936,-122.4757134,1,OK
26,Hindsight winery US,38.5952345,-122.5828093,1,OK
27,Schmitt Söhne winery Germany,49.8067686,6.769756399999999,1,OK
28,Yalumba winery Australia,-34.5131355,139.0565116,1,OK
29,Z'IVO winery US,45.1275681,-123.1187881,1,OK
30,Mitolo winery Australia,-35.2286753,138.5664969,1,OK
31,P.J. Valckenberg winery Germany,35.9245995,-86.7954231,1,OK
32,Passaggio winery US,37.8258803,-122.3693394,1,OK
33,Heron Hill winery US,42.4498966,-77.201624,1,OK
34,Lamoreaux Landing winery US,42.57663180000001,-76.8584529,1,OK
35,Leyda winery Chile,-33.6823801,-71.49733739999999,1,OK
36,Piña winery US,38.4670655,-122.3780446,1,OK
37,Pull winery US,36.1751742,-86.7552097,1,OK
38,Rideau winery US,34.628281,-120.114814,1,OK
39,Dopff & Irion winery France,48.1662821,7.299018599999999,1,OK
40,Matrix winery US,38.574704,-122.8772382,1,OK
41,Silverado winery US,38.412208,-122.3368496,1,OK
42,Le Riche winery South Africa,-34.01459,18.802252,1,OK
43,Delheim winery South Africa,-33.869898,18.8856746,1,OK
44,Clark-Clauden winery US,35.78861510000001,-83.5546323,1,OK
45,Banyan winery US,39.1001859,-84.4876317,1,OK
46,Terra Valentine winery US,38.5229576,-122.5489639,1,OK
47,Testarossa winery US,37.21347799999999,-121.981544,1,OK
