,Winery,Average Temperature (Kelvin),Average Air Pressure (hPa),Average Humidity (%),Average Daily Precipitation (mm)
0,St. Julian winery US,269.63750000000005,1018.1500000000001,79.24000000000001,0.0725
1,Sweet Cheeks winery US,276.025,1019.8875,85.45249999999999,0.057499999999999996
2,Kirkland Signature winery US,277.375,1020.0125,79.19749999999999,0.23500000000000001
3,Louis M. Martini winery US,281.03249999999997,1018.5,79.155,0.0775
4,Richard Böcking winery Germany,275.71,1014.9425,92.215,0.135
5,Bianchi winery US,279.685,1018.23,73.42,0.025
6,Castello di Amorosa winery US,281.03249999999997,1018.5,79.155,0.0775
7,Envolve winery US,281.7425,1019.1525000000001,70.48750000000001,0.125
8,Erath winery US,276.21999999999997,1020.7575,76.705,0.14
9,Feudi del Pisciotto winery Italy,282.53499999999997,1014.39,75.9475,0.055
10,Hawkins Cellars winery US,276.0775,1020.8975,74.8725,0.135
11,Robert Hall winery US,279.685,1018.23,73.42,0.025
12,Sundance winery Chile,269.755,1013.9599999999999,58.3,0.01
13,Trump winery US,277.4675,1019.2974999999999,70.09,0.1225
14,RustRidge winery US,281.03249999999997,1018.5,79.155,0.0775
15,Souverain winery US,281.03249999999997,1018.5,79.155,0.0775
16,Tres Palacios winery Chile,294.26750000000004,1004.5550000000001,47.05500000000001,0.0
17,Okapi winery US,278.52750000000003,1020.1275,76.5975,0.2175
18,Sevtap winery US,285.08,1018.895,58.4075,0.01
19,Simonnet-Febvre winery France,276.745,1020.5049999999999,88.98249999999999,0.1075
20,Vignerons des Terres Secrètes winery France,277.3075,1019.2425,81.31,0.0925
21,Drumheller winery US,276.885,1020.4425,71.7725,0.19
22,Eco Terreno winery US,281.03249999999997,1018.5,79.155,0.0775
23,Hindsight winery US,281.03249999999997,1018.5,79.155,0.0775
24,Schmitt Söhne winery Germany,275.71,1014.9425,92.215,0.135
25,Yalumba winery Australia,295.3925,1012.0350000000001,53.527499999999996,0.022500000000000003
26,Z'IVO winery US,276.12249999999995,1019.4575,78.35749999999999,0.105
27,Mitolo winery Australia,295.3925,1012.0350000000001,53.527499999999996,0.022500000000000003
28,P.J. Valckenberg winery Germany,276.885,1020.4425,71.7725,0.19
29,Passaggio winery US,282.2225,1020.27,71.685,0.1225
30,Heron Hill winery US,271.15500000000003,1015.9375,78.5625,0.095
31,Lamoreaux Landing winery US,269.9725,1015.9375,78.4025,0.10500000000000001
32,Leyda winery Chile,289.5225,1011.4300000000001,74.805,0.0
33,Piña winery US,281.03249999999997,1018.5,79.155,0.0775
34,Pull winery US,276.885,1020.4425,71.7725,0.19
35,Rideau winery US,285.08,1018.895,58.4075,0.01
36,Dopff & Irion winery France,275.945,1014.6075,86.3125,0.1975
37,Matrix winery US,281.03249999999997,1018.5,79.155,0.0775
38,Silverado winery US,280.7575,1020.3425,73.895,0.10250000000000001
39,Le Riche winery South Africa,294.2625,1013.0525,70.8775,0.265
40,Delheim winery South Africa,293.11,1003.365,66.9275,0.255
41,Clark-Clauden winery US,277.375,1020.0125,79.19749999999999,0.23500000000000001
42,Banyan winery US,273.21000000000004,1016.9949999999999,77.8,0.16249999999999998
43,Terra Valentine winery US,281.03249999999997,1018.5,79.155,0.0775
44,Testarossa winery US,281.61,1019.8625000000001,72.6125,0.0825
45,Vincent Vineyards winery US,285.08,1018.895,58.4075,0.01
46,Weingut Liebfrauenstift winery Germany,276.88,1018.23,87.2175,0.135
47,Yardstick winery US,277.855,1019.3675000000001,72.9025,0.355
48,Albatross Ridge winery US,282.145,1019.67,71.3375,0.0475
49,Alta Colina winery US,282.145,1019.67,71.3375,0.0475
50,Big Basin winery US,281.63,1019.21,73.97,0.0875
51,Carl Graff winery Germany,279.46000000000004,1019.4825000000001,73.85,0.235
52,Claiborne & Churchill winery US,280.2,1020.225,66.68,0.0125
53,Cono Sur winery Chile,293.3375,999.1825,58.760000000000005,0.1
54,Duckhorn winery US,276.885,1020.4425,71.7725,0.19
55,Dutton-Goldfield winery US,281.03249999999997,1018.5,79.155,0.0775
56,Fritz Haag winery Germany,275.71,1014.9425,92.215,0.135
57,G7 winery Chile,293.32,1000.435,59.6525,0.0
58,Le Cadeau winery US,276.12249999999995,1019.4575,78.35749999999999,0.105
59,Stoneleigh winery New Zealand,290.48,1011.495,78.5125,0.145
60,Kenwood winery US,281.03249999999997,1018.5,79.155,0.0775
61,La Chablisienne winery France,276.745,1020.5049999999999,88.98249999999999,0.1075
62,Manzoni winery US,282.145,1019.67,71.3375,0.0475
63,McIntyre Vineyards winery US,282.145,1019.67,71.3375,0.0475
64,Anaba winery US,281.7425,1019.1525000000001,70.48750000000001,0.125
65,Harrington winery US,282.2225,1020.27,71.685,0.1225
66,Viña Bisquertt winery Chile,292.86749999999995,996.51,48.405,0.0
67,Emiliana winery Chile,289.5225,1011.4300000000001,74.805,0.0
68,Henry's Drive Vignerons winery Australia,295.3925,1012.0350000000001,53.527499999999996,0.022500000000000003
69,Bertrand Ambroise winery France,276.745,1020.5049999999999,88.98249999999999,0.1075
70,Sequum winery US,281.03249999999997,1018.5,79.155,0.0775
71,Yatir winery Israel,285.2525,1010.8775,73.86999999999999,0.07500000000000001
72,J. Lohr winery US,281.61,1019.87,73.3725,0.0825
73,Courtney Benham winery US,281.03249999999997,1018.5,79.155,0.0775
74,Eikendal winery South Africa,293.11,1003.365,66.9275,0.255
75,Sixteen by Twenty winery US,281.7425,1019.1525000000001,70.48750000000001,0.125
76,Oldenburg winery South Africa,293.11,1003.365,66.9275,0.255
77,Wagner winery US,269.9725,1015.9375,78.4025,0.10500000000000001
78,Treleaven winery US,269.9725,1015.9375,78.4025,0.10500000000000001
79,Silvan Ridge winery US,276.025,1019.8875,85.45249999999999,0.057499999999999996
80,Meeker winery US,281.03249999999997,1018.5,79.155,0.0775
81,Dogwood winery US,281.03249999999997,1018.5,79.155,0.0775
82,Hermann J. Wiemer winery US,269.9725,1015.9375,78.4025,0.10500000000000001
83,Finca Las Moras winery Argentina,297.91999999999996,957.8175,37.35,0.03
84,Long Flat winery Australia,296.21999999999997,1007.6825000000001,78.01249999999999,0.0825
85,Work winery US,276.885,1020.4425,71.7725,0.19
86,Amity winery US,276.12249999999995,1019.4575,78.35749999999999,0.105
87,Blue Rock winery US,281.03249999999997,1018.5,79.155,0.0775
88,Cherry Hill winery US,276.12249999999995,1019.4575,78.35749999999999,0.105
89,Esterlina winery US,281.03249999999997,1018.5,79.155,0.0775
90,Hartenberg winery South Africa,293.11,1003.365,66.9275,0.255
91,Willamette Valley Vineyards winery US,276.12249999999995,1019.4575,78.35749999999999,0.105
92,Byron winery US,285.08,1018.895,58.4075,0.01
93,Jardin winery South Africa,280.4425,1019.805,73.02250000000001,0.26
94,Sottano winery Argentina,296.04,971.94,46.01,0.0125
95,Trailhead winery US,272.25250000000005,1020.925,75.6575,0.08000000000000002
96,Cambria winery US,285.08,1018.895,58.4075,0.01
97,J. Christopher winery US,276.21999999999997,1020.7575,76.705,0.14
98,Salomon-Undhof winery Austria,274.24749999999995,1016.4425,79.965,0.295
99,Talley winery US,280.2,1020.225,66.68,0.0125
100,Parallel winery US,265.975,1016.24,76.25,0.0075
101,Ventisquero winery Chile,293.3375,999.1825,58.760000000000005,0.1
102,Aquinas winery US,271.4875,1020.385,74.545,0.07
103,Buried Cane winery US,276.885,1020.4425,71.7725,0.19
104,Cramele Recas winery Romania,272.54999999999995,1020.67,88.0525,0.030000000000000002
105,Domaine Bertagna winery France,276.745,1020.5049999999999,88.98249999999999,0.1075
106,Otto's Constant Dream winery New Zealand,277.375,1020.0125,79.19749999999999,0.23500000000000001
107,Mount Veeder winery US,276.885,1020.4425,71.7725,0.19
108,Robert Mondavi winery US,281.03249999999997,1018.5,79.155,0.0775
109,Aresti winery Chile,293.3375,999.1825,58.760000000000005,0.1
110,J. & F. Lurton winery Chile,293.3375,999.1825,58.760000000000005,0.1
111,De Martino winery Chile,294.26750000000004,1004.5550000000001,47.05500000000001,0.0
112,Koyle winery Chile,292.0625,963.1875,54.1,0.0425
113,Château Notre Dame du Quatourze winery France,282.0174999999999,1014.2975,63.565,0.0075
114,Mémoires winery France,280.26,1023.8899999999999,86.18249999999999,0.17
115,Viña Tarapacá winery Chile,294.26750000000004,1004.5550000000001,47.05500000000001,0.0
116,Robert Weil winery Germany,276.60249999999996,1016.5925,85.77,0.11750000000000001
117,Rochioli winery US,281.03249999999997,1018.5,79.155,0.0775
118,Louis Latour winery France,276.745,1020.5049999999999,88.98249999999999,0.1075
119,Château de la Tour winery France,276.745,1020.5049999999999,88.98249999999999,0.1075
120,Weingut Hans Bausch winery Germany,276.60249999999996,1016.5925,85.77,0.11750000000000001
121,Philippe Colin winery France,276.745,1020.5049999999999,88.98249999999999,0.1075
122,J. Davies winery US,281.03249999999997,1018.5,79.155,0.0775
123,Winderlea winery US,276.12249999999995,1019.4575,78.35749999999999,0.105
124,Ronco del Gelso winery Italy,277.61,1016.7075,79.6325,0.14750000000000002
125,Sebastiani winery US,281.7425,1019.1525000000001,70.48750000000001,0.125
126,Elena Walch winery Italy,271.93,990.155,75.185,0.1275
127,Borgo Conventi winery Italy,277.61,1016.7075,79.6325,0.14750000000000002
128,Ceago Vinegarden winery US,281.03249999999997,1018.5,79.155,0.0775
