,winery_search_term,latitude,longitude,number_of_results,status
0,Nicosia winery Italy,37.6221504,15.0747503,1,OK
1,Quinta dos Avidagos winery Portugal,41.183402,-7.757935499999999,1,OK
2,,,,0,ZERO_RESULTS
3,St. Julian winery US,42.2122513,-85.8917127,1,OK
4,Sweet Cheeks winery US,43.9566698,-123.2791353,1,OK
5,Tandem winery Spain,42.66744000000001,-1.954268,1,OK
6,Terre di Giurfo winery Italy,37.1112433,14.6327287,1,OK
7,Trimbach winery France,48.1949046,7.3260159,1,OK
8,Heinz Eifel winery Germany,33.4295171,-86.7064889,1,OK
9,Jean-Baptiste Adam winery France,48.1265682,7.283714199999999,1,OK
